GeneName
ACTA2
AKT1
AKT2
AKT3
ASK1
CCN2
CD63
COL1A1
COL3A1 
COL6A1
COL6A2
COL6A3
CTGF
EDA
FN1
FZD1
FZD2
JAK1
LRP6
MAPK1
MAPK14
MMP1
MMP10
MMP2
MMP2
MMP9
NOX1
NOX2
NOX4
PDGF
PDGFRB
PIK3CD
POSTN
SERPINE1
SMAD2
SMAD3
SMAD4
SMAD7
TGFB1
TGFB2
TGFB3
TGFBR1
TGFBR2
TIMP-1
TIMP-2
TIMP1 
WNT1
Wnt10b
WNT3a
