GeneName
PCDH7
PPARG
RARA
RARB
RARG
LHX2
KLF6
IHH
SHH
DHH
PTCH1
PTCH2
GLI1
GLI2
GLI3
SMO
MECP2
SPP1
TNFR1
TNF
