GeneName
AXIN1
C-MYC
CTNNB1
CXCL12
CXCR4
EGF
EGFR
FGF2
FGFR1
FOS
FYN
HGF
IGF-1
IGF-1R
IGF-2
IGF-2R
MET
MTOR
N-RAS
NFKB1
SRC
STAT3
TERT
TP53
VEGFA
VEGFR1
VEGFR2
