kinnex,sample
m84132-combined-demux-from-fastq.2--24.fastq,MCE22.hifi.fastq
m84132-combined-demux-from-fastq.2--25.fastq,MCE23.hifi.fastq
m84132-combined-demux-from-fastq.2--26.fastq,MCE24.hifi.fastq
m84132-combined-demux-from-fastq.2--27.fastq,MCE25.hifi.fastq
m84132-combined-demux-from-fastq.3--20.fastq,MCE26.hifi.fastq
m84132-combined-demux-from-fastq.3--21.fastq,MCE27.hifi.fastq
m84132-combined-demux-from-fastq.3--22.fastq,MCE28.hifi.fastq
m84132-combined-demux-from-fastq.3--23.fastq,MCE29.hifi.fastq
m84132-combined-demux-from-fastq.3--24.fastq,MCE30.hifi.fastq
m84132-combined-demux-from-fastq.3--25.fastq,MCE31.hifi.fastq
m84132-combined-demux-from-fastq.3--26.fastq,MCE32.hifi.fastq
m84132-combined-demux-from-fastq.3--27.fastq,MCE33.hifi.fastq
m84132-combined-demux-from-fastq.4--20.fastq,MCE34.hifi.fastq
m84132-combined-demux-from-fastq.4--21.fastq,MCE35.hifi.fastq
m84132-combined-demux-from-fastq.4--22.fastq,MCE36.hifi.fastq
m84132-combined-demux-from-fastq.4--23.fastq,MCE37.hifi.fastq
m84132-combined-demux-from-fastq.4--24.fastq,MCE38.hifi.fastq
m84132-combined-demux-from-fastq.4--25.fastq,MCE39.hifi.fastq
m84132-combined-demux-from-fastq.4--26.fastq,MCE40.hifi.fastq
m84132-combined-demux-from-fastq.4--27.fastq,MCE41.hifi.fastq
m84132-combined-demux-from-fastq.5--20.fastq,MCE42.hifi.fastq
m84132-combined-demux-from-fastq.5--21.fastq,MCE43.hifi.fastq
m84132-combined-demux-from-fastq.5--22.fastq,MCE44.hifi.fastq
m84132-combined-demux-from-fastq.5--23.fastq,MCE45.hifi.fastq
m84132-combined-demux-from-fastq.5--24.fastq,MCE46.hifi.fastq
m84132-combined-demux-from-fastq.5--25.fastq,MCE47.hifi.fastq
m84132-combined-demux-from-fastq.5--26.fastq,MCE48.hifi.fastq
m84132-combined-demux-from-fastq.5--27.fastq,MCE49.hifi.fastq
m84132-combined-demux-from-fastq.6--20.fastq,MCE50.hifi.fastq
m84132-combined-demux-from-fastq.6--21.fastq,MCE51.hifi.fastq
m84132-combined-demux-from-fastq.6--22.fastq,MCE52.hifi.fastq
m84132-combined-demux-from-fastq.7--20.fastq,MCE58.hifi.fastq
m84132-combined-demux-from-fastq.7--21.fastq,MCE59.hifi.fastq
m84132-combined-demux-from-fastq.7--22.fastq,MCE60.hifi.fastq
m84132-combined-demux-from-fastq.7--23.fastq,MCE61.hifi.fastq
m84132-combined-demux-from-fastq.7--24.fastq,MCE62.hifi.fastq
m84132-combined-demux-from-fastq.7--25.fastq,MCE63.hifi.fastq
m84132-combined-demux-from-fastq.7--27.fastq,MCE65.hifi.fastq
